"Title","Concept","Glossary term » Taxonomy term » Acronym (indexed field)","Definition","Deliverable(s)","Glossary term » Taxonomy term » Alternative labels (indexed field)","term_id","node_id"
"invasive alien species_ppa","invasive alien species","IAS","A species that, once it has been introduced outside its native distributional range, has a tendency to spread over space without direct human assistance.","Pollination assessment",NA,21681,41385
"invasive alien species_ama_afa_apa_ppa_ldr_eca_sua_ga1","invasive alien species","IAS","Species whose introduction and/or spread by human action outside their natural distribution threatens biological diversity, food security, and human health and well-being. Alien refers to the species' having been introduced outside its natural distribution (exotic, non-native and non-indigenous are synonyms for alien). Invasive means tending to expand into and modify ecosystems to which it has been introduced. Thus, a species may be alien without being invasive, or, in the case of a species native to a region, it may increase and become invasive, without actually being an alien species.","Americas assessment, Africa assessment, Asia-Pacific assessment, Pollination assessment, Land degradation and restoration assessment, Europe and Central Asia assessment, Sustainable use assessment, Global assessment (1st work programme)",NA,21681,16355
"invasive alien species_eca_ama_apa_ga1","invasive alien species","IAS","See Invasive alien species.","Europe and Central Asia assessment, Americas assessment, Asia-Pacific assessment, Global assessment (1st work programme)",NA,21681,16356
"invasive alien species_ias","invasive alien species","IAS","animals, plants or other organisms introduced directly or indirectly by people into places out of their natural range of distribution, where they have become established and dispersed, and generating an impact on local ecosystems and species (IPBES, 2016); see Chapter 1 for further discussion). Invasive alien species are a subset of established alien species that have negative impacts.","Invasive alien species assessment",NA,21681,69596
"invasive alien species_nxs","invasive alien species","IAS","Animals, plants or other organisms introduced directly or indirectly by people into places out of their natural range of distribution, where they have become established and dispersed, and generating an impact on local ecosystems and species, threatens biological diversity, food security, and human health and well-being. ""Alien"" refers to the species' having been introduced outside its natural distribution (""exotic"", ""non-native"" and ""non-indigenous"" are synonyms for ""alien""). ""Invasive"" means tending to expand into and modify ecosystems to which it has been introduced. Thus, a species may be alien without being invasive, or, in the case of a species native to a region, it may increase and become invasive, without actually being an alien species (IPBES, 2023b).","Nexus assessment",NA,21681,88368
"invasive pollinator_ppa","invasive pollinator","","A pollinator species that, once it has been introduced outside its native distributional range, has a tendency to spread without direct human assistance.","Pollination assessment",NA,25034,41386
"ipbes conceptual framework_scm_apa","ipbes conceptual framework","","A simplified representation of the complex interactions between the natural world and human societies. This framework emerged from an extensive process of consultation and negotiation, leading to formal adoption by the second IPBES Plenary (IPBES/2/4), and therefore represents a key foundation for all IPBES activities. The framework recognizes different knowledge systems, including indigenous and local knowledge (ILK) systems, which can be complementary to those based on science.","Scenarios and models assessment, Asia-Pacific assessment",NA,21683,41387
"ipbes conceptual framework_eca_ldr","ipbes conceptual framework","","The IPBES conceptual framework has been designed to build shared understanding across disciplines, knowledge systems and stakeholders of the interplay between biodiversity and ecosystem drivers, and of the role they play in building a good quality of life.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,21683,41388
"ipbes conceptual framework_ga1","ipbes conceptual framework","","The Platform’s conceptual framework has been designed to build shared understanding across disciplines, knowledge systems and stakeholders of the interplay between biodiversity and ecosystem drivers, and of the role they play in building a good quality of life through nature’s contributions to people.","Global assessment (1st work programme)",NA,21683,41389
"ipbes conceptual framework_afa_ama_sua","ipbes conceptual framework","","The Platform's conceptual framework has been designed to build shared understanding across disciplines, knowledge systems and stakeholders of the interplay between biodiversity and ecosystem drivers, and of the role they play in building a good quality of life through nature's contributions to people.","Africa assessment, Americas assessment, Sustainable use assessment",NA,21683,16357
"IUCN protected area category_apa_ga1_eca_ama","IUCN protected area category","","IUCN protected area management categories classify protected areas according to their management objectives.","Asia-Pacific assessment, Global assessment (1st work programme), Europe and Central Asia assessment, Americas assessment",NA,21685,16359
"IUCN red list_ga1_sua","IUCN red list","","The IUCN Red List is an indicator of the health of biodiversity. It provides taxonomic, conservation status and distribution information on plants, fungi and animals that have been globally evaluated using the IUCN Red List Categories and Criteria. This system is designed to determine the relative risk of extinction, and the main purpose of the IUCN Red List is to catalogue and highlight those plants and animals that are facing a higher risk of global extinction.","Global assessment (1st work programme), Sustainable use assessment",NA,25035,41390
"IUCN red list_apa","IUCN red list","","The IUCN Red List of Threatened Species provides taxonomic, conservation status and distribution information on plants, fungi and animals that have been globally evaluated using the IUCN Red List Categories and Criteria.","Asia-Pacific assessment",NA,25035,41391
"IUCN red list_ama","IUCN red list","","The IUCN Red List of Threatened Species provides taxonomic, conservation status and distribution information on taxa that have been globally evaluated using the IUCN Red List Categories and Criteria. This system is designed to determine the relative risk of extinction, and the main purpose of the IUCN Red List is to catalogue and highlight those taxa that are facing a higher risk of global extinction (i.e. as Critically Endangered, Endangered and Vulnerable). The IUCN Red List also includes information on taxa that are categorized as Extinct or Extinct in the Wild; on taxa that cannot be evaluated because of insufficient information (i.e. are Data Deficient); and on taxa that are either close to meeting the threatened thresholds or that would be threatened were it not for an ongoing taxon- specific conservation programme (i.e. are Near Threatened).","Americas assessment",NA,25035,41392
"jevons paradox_ga1","jevons paradox","","See 'Rebound effect'.","Global assessment (1st work programme)",NA,25036,41393
"joint production_ga1","joint production","","See ‘Co-production’.","Global assessment (1st work programme)",NA,25037,41394
"just_tca","just","","Describes what is considered moral or ethical. It is often conflated with equity and fairness. All notions and interpretations of just and justice are normative constructs and have merits and drawbacks relative to each other (Ikeme, 2003).","Transformative change assessment",NA,34049,88108
"justice_va","justice","","Justice traditionally refers to the fair treatment of people, or ‘what we owe to each other’, but its scope may also be extended to include duties to other units of nature such as animals, rivers or Pachamama. Source Chapter 1. See Distributive justice, Ecological justice, Environmental justice, Epistemic justice, Procedural justice, Recognition, Retributive justice.","Values assessment",NA,25038,41395
"justice_nxs","justice","","Refers to a broad value connected to the principle of fairness, i.e., the fair treatment of people and other-than-human nature, including inter- and intra-generational equity (IPBES, 2022a). Injustice refers to if conditions within a given society systematically support one but hinder other individuals or groups with regard to basic flourishing (i.e., fundamentally thriving within reasonable limits), then that society is to some degree unjust (Langemeyer & Connolly, 2020). Like equity, achieving justice implies considering recognition justice, or recognizing, valuing, add acknowledging respect for different and contextual ways of life, knowledge and cultural difference and capabilities, which can determine who benefits from resources and power; procedural justice, or fairness in political processes and participation in decision-making; and distributional justice, or ensuring the fair distribution of the benefits derived from biodiversity and nature's contributions to people, as well as allocation of costs and risks (IPBES, 2022a; IPCC, 2022a). See also Earth system justice, Equality and Equity.","Nexus assessment",NA,25038,88369
"justice_tca","justice","","Traditionally refers to the fair treatment of people, or 'what we owe to each other', but its scope may also be extended to include duties to other units of nature such as animals, rivers or Pachamama (IPBES, 2021). Justice also refers to a variegated set of conditions – primary concerned with distribution of resources, political processes and social recognition – that allows for full human flourishing. In this assessment, the concept of justice relates to procedural justice, distributional justice, recognition justice, restorative justice and multispecies justice (Agyeman et al., 2016; Celermajer et al., 2020).","Transformative change assessment",NA,25038,88370
"kametsa asaike_tca","kametsa asaike","","Living well together in this place; knowing the world as a network of mutually constituted human and other-than-human actors (Caruso & Sarmiento Barletti, 2019). Origin: Ashaninka, Peruvian Amazon.","Transformative change assessment",NA,34050,88111
"kawsak sacha_tca","kawsak sacha","","The living forest, a conscious living being who is the subject of rights and is inhabited by Runayuk, beings that protect ecosystems, animal and plant species (IPBES, 2022b). Origin: Kichwa, Ecuador.","Transformative change assessment",NA,34051,88112
"kciye_tca","kciye","","A Penawahpskek word translated as meaning harmony with the natural world entailing both recognition of interconnectedness and adopting attitudes, beliefs and actions that enact this in practice (Mitchell, 2018). Origin: Wabanaki, North America.","Transformative change assessment",NA,34052,88113
"kelp_apa","kelp","","A large brown seaweed that typically has a long, tough stalk with a broad frond divided into strip.","Asia-Pacific assessment",NA,25039,41396
"key biodiversity area_ama_eca_afa_ga1_apa","key biodiversity area","KBA","Sites contributing significantly to the global persistence of biodiversity. They represent the most important sites for biodiversity worldwide, and are identified nationally using globally standardised criteria and thresholds.","Americas assessment, Europe and Central Asia assessment, Africa assessment, Global assessment (1st work programme), Asia-Pacific assessment",NA,25040,41397
"key players_va","key players","","People and organizations who both can influence and become affected by decisions - that is, in certain contexts, they serve as influencers, while at the same time are involved in actual decision making.","Values assessment",NA,25041,41398
"keystone species_sua","keystone species","","A species whose impact on the community or ecosystem is disproportionately large relative to its abundance. Effects can be produced by consumption (trophic interactions), competition, mutualism, dispersal, pollination, disease, or habitat modification (non-trophic interactions).","Sustainable use assessment",NA,25042,41399
"keystone species_apa","keystone species","","Species that maintain the organization and diversity of their ecological communities and are thus exceptional, relative to the rest of the community, in their importance. Species that, despite low biomass, exert strong effects on the structure of the communities they inhabit.","Asia-Pacific assessment",NA,25042,41401
"kinship-centric principle (non-humans)_va","kinship-centric principle (non-humans)","","animals, plants and spirits, and such approach forms part of an indigenous cultural identity. Maintaining reciprocal and healthy relationships through a continuum with animals, plants and the lands where they reside involve the giving and taking of resources in appropriate ways, at appropriate times. In some cases, animals and plants are seen and treated as equals to humans and shape and reshape human relations with nature. Often, the values embedded in these relationships drive human behaviour and are elicited through certain valuation methods. Appreciation (no disregard) for spiritual entities (e.g. sacred mountains, rivers, among others) residing on ancestral lands, can be an example of a Kinship-central approach (focused on non-humans).","Values assessment",NA,25043,41402
"kinship-centric principle (other humans)_va","kinship-centric principle (other humans)","","Actions of mutual support between humans such as sharing, gender equity, social equity, honesty, humility, modesty. Some of these elements can be revealed as relevant through valuation methods and approaches, as well as by practices associated with them.","Values assessment",NA,25044,41403
"knowledge system_va","knowledge system","","Indigenous and local knowledge systems are understood to be dynamic bodies of integrated, holistic, social and ecological understandings, know-hows, practices and beliefs pertaining to the relationship of living beings, including people, with one another and with their environment. Indigenous and local knowledge is grounded in territory, is highly diverse and is continuously evolving through the interaction of experiences, skills, innovations and different types of wisdom expressed in multiple ways (written, oral, visual, tacit, practical and scientific). Such knowledge can provide information, methods, theory and practice for sustainable ecosystem management. Indigenous and local knowledge systems have been, and continue to be, empirically tested, applied, contested and validated through different means in different contexts. Western Academic knowledge systems relate to often explicit knowledge that has been derived from applying formal methods in academic or technical institutions.","Values assessment",NA,21687,41404
"knowledge system_scm","knowledge system","","A body of propositions that are adhered to, whether formally or informally, and are routinely used to claim truth.","Scenarios and models assessment",NA,21687,41405
"knowledge system_ppa","knowledge system","","Organized structures and dynamic processes (a) generating and representing content, components, classes, or types of knowledge, that are (b) domain-specific or characterized by domain-relevant features as defined by the user or consumer, (c) reinforced by a set of logical relationships that connect the content of knowledge to its value (utility), (d) enhanced by a set of iterative processes that enable the evolution, revision, adaptation, and advances, and (e) subject to criteria of relevance, reliability, and quality.","Pollination assessment",NA,21687,41406
"knowledge system_afa","knowledge system","","A body of propositions that are adhered to, whether formally or informally, and are routinely used to claim truth. They are organised structures and dynamic processes: generating and representing content, components, classes, or types of knowledge, that are, domain-specific or characterised by domain-relevant features as defined by the user or consumer,, reinforced by a set of logical relationships that connect the content of knowledge to its value (utility),, enhanced by a set of iterative processes that enable the evolution, revision, adaptation, and advances, and,, subject to criteria of relevance, reliability, and quality.","Africa assessment",NA,21687,41407
"knowledge system_eca_ama_sua_ldr_apa_nxs_tca","knowledge system","","A body of propositions that are adhered to, whether formally or informally, and are routinely used to claim truth. They are organized structures and dynamic processes (a) generating and representing content, components, classes, or types of knowledge, that are (b) domain-specific or characterized by domain-relevant features as defined by the user or consumer, (c) reinforced by a set of logical relationships that connect the content of knowledge to its value (utility), (d) enhanced by a set of iterative processes that enable the evolution, revision, adaptation, and advances, and (e) subject to criteria of relevance, reliability, and quality.","Europe and Central Asia assessment",NA,21687,16362
"kunming-montreal global biodiversity framework_nxs","kunming-montreal global biodiversity framework","","An international agreement that was adopted by the 15th Conference of Parties (COP15) to the Convention on Biological Diversity on 19 December 2022. It promotes attainment of the 2050 Vision of 'Living in harmony with nature' through achievement of four global goals and 23 targets. The latter are divided into three categories: reducing threats to biodiversity, meeting people's needs through sustainable use and benefit sharing, and tools and solutions for implementation and mainstreaming. The framework recognizes that urgent policy action at all levels of governance is required to transform economic, social and financial models to reverse biodiversity loss, referred to in the framework as a ""whole-of-government and whole-of-society approach"".","Nexus assessment",NA,34053,88371
"kunming-montreal global biodiversity framework_tca","kunming-montreal global biodiversity framework","","A multilateral environmental framework adopted during the fifteenth meeting of the Conference of the Parties (COP 15) to the Convention on Biological Diversity following a four-year consultation and negotiation process. It supports the achievement of the Sustainable Development Goals and builds on the Convention's previous Strategic Plans and sets out an ambitious pathway to reach the global vision of a world living in harmony with nature by 2050. Among the Framework's key elements are four goals for 2050 and 23 targets for 2030 (Convention on Biological Diversity, 2022).","Transformative change assessment",NA,34053,88372
"kyoto protocol_apa","kyoto protocol","","An international agreement linked to the United Nations Framework Convention on Climate Change, which commits its Parties by setting internationally binding emission reduction targets.","Asia-Pacific assessment",NA,25045,41408
"lag phase_ias","lag phase","","the time between when an alien species arrives in a new area and the onset of the phase of rapid, or exponential, increase. Multiple factors are frequently implicated in the persistence or dissolution of the lag phase in biological invasions, including an initial shortage of suitable sites, the absence or shortage of essential mutualists, inadequate genetic diversity, and reduction in competition or predation (due to other alterations in the resident biota)","Invasive alien species assessment",NA,28668,69597
"land_nxs","land","","The terrestrial bioproductive system that comprises soil, vegetation, other biota and the ecological and hydrological processes that operate within the system (UNCCD, 2017).","Nexus assessment",NA,34054,88116
"land abandonment_ldr","land abandonment","","Land abandonment occurs when a particular land use ceases, and there is no clearly- defined subsequent land use practice. It is often associated with poorly defined ownership and/or land use governance.","Land degradation and restoration assessment",NA,25046,41409
"land cover_sua","land cover","","The physical coverage of land, usually expressed in terms of vegetation cover or lack of it. Related to, but not synonymous with, land use.","Sustainable use assessment",NA,25047,41410
"land cover_ga1_ldr","land cover","","The observed (bio)physical cover on the earth's surface.","Global assessment (1st work programme), Land degradation and restoration assessment",NA,25047,41411
"land cover_apa","land cover","","The surface cover on the ground, whether vegetation, urban infrastructure, water, bare soil or other. Identifying, delineating and mapping land cover is important for global monitoring studies, resource management, and planning activities. Identification of land cover establishes the baseline from which monitoring activities (change detection) can be performed, and provides the ground cover information for baseline thematic maps.","Asia-Pacific assessment",NA,25047,41413
"land degradation_apa_ldr_eca_ga1","land degradation","","Refers to the many processes that drive the decline or loss in biodiversity, ecosystem functions or services and includes the degradation of all terrestrial ecosystems.","Asia-Pacific assessment, Land degradation and restoration assessment, Europe and Central Asia assessment, Global assessment (1st work programme)",NA,21688,41414
"land degradation_ama_sua_afa_ga1_nxs_tca","land degradation","","Refers to the many processes that drive the decline or loss in biodiversity, ecosystem functions or their benefits to people and includes the degradation of all terrestrial ecosystems.","Americas assessment",NA,21688,16363
"land degradation neutrality_ldr","land degradation neutrality","","A state whereby the amount of healthy and productive land resources, necessary to support ecosystem services, remains stable or increases within specified temporal and spatial scales.","Land degradation and restoration assessment",NA,25048,41415
"land grabbing_sua","land grabbing","","See ‘Grabbing (of wild species and space)’.","Sustainable use assessment",NA,25049,41416
"land grabbing_ga1","land grabbing","","See 'Large scale land acquisition'.","Global assessment (1st work programme)",NA,25049,41417
"land grabbing_ldr","land grabbing","","The large-scale acquisition of land (especially in developing countries), driven primarily by concerns about food and energy security of high-income countries and often executed by the private sector.","Land degradation and restoration assessment",NA,25049,41418
"land sharing_ldr_ama_eca","land sharing","","A situation where low-yield farming enables biodiversity to be maintained within agricultural landscapes.","Land degradation and restoration assessment, Americas assessment, Europe and Central Asia assessment",NA,21689,16891
"land sharing and sparing_ga1","land sharing and sparing","","Concepts used to describe, in general terms, spatial-temporal arrangements of agricultural and non-agricultural areas. Land sharing is a situation where farming practices enable biodiversity to be maintained within agricultural landscapes. Land sparing, also called land separation involves restoring or creating non-farmland habitat in agricultural landscapes at the expense of field-level agricultural production - for example, woodland, natural grassland, wetland, and meadow on arable land. This approach does not necessarily imply high-yield farming of the non-restored, remaining agricultural land. See also 'Conservation agriculture'.","Global assessment (1st work programme)",NA,25050,41419
"land sparing_ama","land sparing","","Also called Land separation involves restoring or creating non-farmland habitat in agricultural landscapes at the expense of field-level agricultural production - for example, woodland, natural grassland, wetland, and meadow on arable land. This approach does not necessarily imply high- yield farming of the non restored, remaining agricultural land. (From Rey Benayas & Bullock, 2012). See also Conservation agriculture in this Glossary.","Americas assessment",NA,21690,41420
"land sparing_eca_ldr","land sparing","","Land sparing, also called land separation involves restoring or creating non-farmland habitat in agricultural landscapes at the expense of field-level agricultural production - for example, woodland, natural grassland, wetland, and meadow on arable land. This approach does not necessarily imply high-yield farming of the non-restored, remaining agricultural land. See also Conservation agriculture.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,21690,16892
"land tenure_ldr","land tenure","","The relationship, whether legally or customarily defined, among people, as individuals or groups, with respect to land.","Land degradation and restoration assessment",NA,25051,41421
"land transformation_ldr","land transformation","","A process whereby the biotic community of an area is substantially altered or substituted by another, along with the underlying ecological and human processes responsible for its persistence, often as a result of a deliberate decision to change the purpose for which the land is used.","Land degradation and restoration assessment",NA,25052,41422
"land use_ga1","land use","","The human use of a specific area for a certain purpose (such as residential; agriculture; recreation; industrial, etc.). Influenced by, but not synonymous with, land cover. Land use change refers to a change in the use or management of land by humans, whi.","Global assessment (1st work programme)",NA,21691,41423
"land use_afa_ppa_ga1_ldr_eca_sua_apa_ama","land use","","The human use of a specific area for a certain purpose (such as residential, agriculture, recreation, industrial, etc.). Influenced by, but not synonymous with, land cover. Land-use change refers to a change in the use or management of land by humans, which may lead to a change in land cover.","Africa assessment, Pollination assessment, Global assessment (1st work programme), Land degradation and restoration assessment, Europe and Central Asia assessment, Sustainable use assessment, Asia-Pacific assessment, Americas assessment",NA,21691,16364
"land use and land use/cover change_nxs","land use and land use/cover change","","Refers to the total arrangements, activities and inputs undertaken in a certain land cover type (a set of human actions). Land use change refers to a change in the use or management of land by humans, which may lead to a change in land cover (IPCC, 2014).","Nexus assessment",NA,34055,88117
"land use change_apa","land use change","","Land use refers to the modification or management of natural environments into human dominated environments, such as settlements, semi-natural and agricultural areas.","Asia-Pacific assessment",NA,21692,41424
"land use change_ama_eca","land use change","","See Land use.","Americas assessment, Europe and Central Asia assessment",NA,21692,16365
"land use intensification_ga1","land use intensification","","Activities undertaken with the intention of enhancing the productivity or profitability per unit area of rural land use, including intensification of particular land uses as well as changes between land uses (Martin et al., 2018).","Global assessment (1st work programme)",NA,25053,41425
"landrace_ga1","landrace","","A breed that has largely developed through adaptation to the natural environment and traditional production system in which it has been raised (FAO, 2013).","Global assessment (1st work programme)",NA,25054,41426
"landscape_ldr","landscape","","A human-defined area ranging in size from c. 3 km2 to c. 3002 km. Landscape is spatially heterogeneous in at least one factor of interest and often consists of a mosaic of interacting ecosystems.","Land degradation and restoration assessment",NA,21693,41427
"landscape_ga1_apa","landscape","","An area delineated by an actor for a specific set of objectives, constitutes an area in which entities, including humans, interact according to rules (physical, biological, and social) that determine their relationships; Place-based systems that result from interactions between people, land, institutions (laws, rules and regulations) and values. Interactive aspects that define a landscape are functional interactions, negotiated spaces and multiple scales.","Global assessment (1st work programme), Asia-Pacific assessment",NA,21693,41428
"landscape_ama_sua_eca","landscape","","An area of land that contains a mosaic of ecosystems, including human-dominated ecosystems.","Americas assessment, Sustainable use assessment, Europe and Central Asia assessment",NA,21693,16893
"landscape composition_ppa","landscape composition","","The abundances of patch types represented within a landscape. Composition is not spatially explicit because it refers only to the variety and abundance of patch types, but not their placement or location (dispersion) in the landscape.","Pollination assessment",NA,21694,16366
"landscape configuration_eca","landscape configuration","","The distribution, size and abundances of patch types represented within a landscape. Configuration is spatially explicit because it refers not only to the variety and abundance of patch types, but also to their placement or location (dispersion) in the landscape.","Europe and Central Asia assessment",NA,21695,16367
"landscape functioning_ga1","landscape functioning","","The capacity or potential of landscapes to provide services (Bolliger & Kienast, 2010).","Global assessment (1st work programme)",NA,25055,41429
"landscape heterogeneity_ga1","landscape heterogeneity","","Landscape heterogeneity is a complex phenomenon involving the size, shape and composition of different landscape units and the spatial (and temporal) relations between them (G. Cale & J. Hobbs, 1994).","Global assessment (1st work programme)",NA,25056,41430
"landscape heterogeneity_sua","landscape heterogeneity","","Landscape heterogeneity is a complex phenomenon involving the size, shape and composition of different landscape units and the spatial (and temporal) relations between them.","Sustainable use assessment",NA,25056,41431
"landscape planning_ppa","landscape planning","","An activity concerned with reconciling competing land uses while protecting natural processes and significant cultural and natural resources.","Pollination assessment",NA,21696,16368
"landscape socio-ecological approach_ldr","landscape socio-ecological approach","","The landscape scale approach incorporates the socio-ecological system, including natural and human-modified ecosystems, influenced by ecological, historical, economic, and socio-cultural processes. The landscape includes an array of stakeholders small enough to be manageable, but large enough to deliver multiple functions for stakeholders with differing interests.","Land degradation and restoration assessment",NA,25057,41432
"large scale land acquisition_ga1","large scale land acquisition","LSLA","The control (whether through ownership, lease, concession, contracts, quotas, or general power) of larger than locally-typical amounts of land by any persons or entities (public or private, foreign or domestic) via any means (‘legal’ or ‘illegal’) for purposes of speculation, extraction, resource control or commodification at the expense of agroecology, land stewardship, food sovereignty and human rights. It is sometimes also called land grabbing.","Global assessment (1st work programme)",NA,25059,41433
"large scale land acquisition_sua","large scale land acquisition","LSLA","See ‘Grabbing (of wild species and space)’.","Sustainable use assessment",NA,25059,41434
"law of the sea_sua_ga1","law of the sea","","The United Nations Convention on the Law of the Sea (UNCLOS), in force since 1994, defines the rights and obligations of nations (167 at present) with regard to the use of the world's oceans and their resources, and the protection of the marine and coastal environment. The UNCLOS also defines national marine jurisdiction on maritime territories and provides guidelines related to the use and management of marine environment and resources.","Sustainable use assessment, Global assessment (1st work programme)",NA,25060,41435
"leaching_eca","leaching","","The dissolution and movement of dissolved substances by water.","Europe and Central Asia assessment",NA,21697,16894
"leaf area index_ga1","leaf area index","LAI","The total area of green leaves per unit area of ground covered (FAO, 2018a).","Global assessment (1st work programme)",NA,25061,41436
"leakage_ama","leakage","","An environmentally damaging activity that is relocated elsewhere after being stopped locally.","Americas assessment",NA,25062,41437
"leakage effect_ga1","leakage effect","","Phenomena whereby the reduction in emissions (relative to a baseline) in a jurisdiction/sector associated with the implementation of mitigation policy is offset to some degree by an increase outside the jurisdiction/sector through induced changes in consumption, production, prices, land use and/or trade across the jurisdictions/sectors. Leakage can occur at a number of levels, be it a project, state, province, nation or world region.","Global assessment (1st work programme)",NA,25063,41438
"learning (traditional and formal)_ga1","learning (traditional and formal)","","Learning refers to the process of knowledge and skills acquisition. Studies on learning have payed attention to the different ways people acquire knowledge, practices, and beliefs (i.e., imitation, copying, trial-and-error), but also to the dynamics of knowledge transmission, or the different sources from which knowledge, practices, and beliefs are passed from one individual to another (i.e., from parents, peers, teachers, prestigious peoples, media, etc). Social learning is defined as the acquisition of newinformation by observing and emulating others, and it is a key human strategy that allows for the accumulation of culturally transmitted knowledge.","Global assessment (1st work programme)",NA,25064,41439
"learning (traditional and formal)_sua","learning (traditional and formal)","","Learning refers to the process of knowledge and skills acquisition. Studies on learning have payed attention to the different ways people acquire knowledge, practices, and beliefs (i.e. imitation, copying, trial-and-error), but also to the dynamics of knowledge transmission, or the different sources from which knowledge, practices, and beliefs are passed from one individual to another (i.e. from parents, peers, teachers, prestigious peoples, media, etc.). Social learning is defined as the acquisition of new information by copying others, and it is a key human strategy that allows for the accumulation of culturally transmitted knowledge.","Sustainable use assessment",NA,25064,41440
"legal and regulatory instrument_sua","legal and regulatory instrument","","see “Policy instruments”.","Sustainable use assessment",NA,25065,41441
"legal personality_ias","legal personality","","any entity that has the ability to conclude and negotiate international agreements in accordance with its external commitments; become a member of international organizations; join international conventions, such as the European Convention on Human Rights, stipulated in Article 6(2) of the Treaty on European Union","Invasive alien species assessment",NA,28669,69598
"legal pluralism_sua","legal pluralism","","Legal pluralism is a sensitizing concept for situations in which people draw upon several legal systems, irrespective of their status within the state legal system.","Sustainable use assessment",NA,25066,41442
"lekil kuxlejal_tca","lekil kuxlejal","","In the Mayan language tseltal, the most similar word islekil kuxlejal (Paoli, 2003), which means 'good life', that is, what is done in order to integrate material, spiritual and communal needs (Ávila, 2011). Origin: Maya, Chiapas, Mexico.","Transformative change assessment",NA,34056,88373
"level of resolution_apa","level of resolution","","Degree of detail captured in an analysis. A high level of resolution implies a highly detailed analysis, usually associated with finer spatial and temporal scales. A low level of resolution implies a less detailed analysis, usually associated with coarser spatial and temporal scales.","Asia-Pacific assessment",NA,21698,16369
"leverage points_nxs_tca","leverage points","","Places in a system where relatively minor interventions can lead to relatively major changes in certain outcomes.","Nexus assessment",NA,34057,88119
"life frames of nature’s values_va","life frames of nature’s values","LFS","Frames that illustrate the in which people conceptualise how nature matters. Life frames mediate between ways of being/living and the prioritization of different sets of broad and specific values. The four archetypes of living from, living in, living with and living as nature are not mutually exclusive. They offer a range of sources-of-concern for nature that can overlap or be emphasized in diverse contexts (section 2.2.6).","Values assessment",NA,25067,41443
"limestone karsts_apa","limestone karsts","","Referred to simply as karsts are sedimentary rock outcrops that consist primarily of calcium carbonate.","Asia-Pacific assessment",NA,25068,41444
"linguistic uncertainty_scm","linguistic uncertainty","","Imprecise meaning of words, including vagueness and ambiguity.","Scenarios and models assessment",NA,25069,41445
"livelihood diversification_sua","livelihood diversification","","Livelihood diversification is defined as the process by which rural families construct a diverse portfolio of activities and social support capabilities in their struggle for survival and in order to improve their standards of living”.","Sustainable use assessment",NA,25070,41446
"livelihood resilience_ldr","livelihood resilience","","The capacity of all people across generations to sustain and improve their livelihood opportunities and well-being despite environmental, economic, social and political disturbances.","Land degradation and restoration assessment",NA,25071,41447
"livelihood security_ldr","livelihood security","","Adequate and sustainable access to income and resources to meet basic needs (including adequate access to food, potable water, health facilities, educational opportunities, housing, time for community participation and social integration).","Land degradation and restoration assessment",NA,25072,41448
"livelihoods_nxs","livelihoods","","The resources used and the activities undertaken in order to live. Livelihoods are uSUAlly determined by the entitlements and assets to which people have access. Such assets can be categorised as human, social, natural, physical or financial (IPCC, 2022a).","Nexus assessment",NA,34058,88120
"living in harmony with nature_apa_eca_afa_ama_sua_scm_tca","living in harmony with nature","","Within the context of the IPBES Conceptual Framework - a perspective on good quality of life based on the interdependence that exists among human beings, other living species and elements of nature. It implies that we should live peacefully alongside all other organisms even though we may need to exploit other organisms to some degree.","Asia-Pacific assessment",NA,21699,16370
"local_ppa","local","","adj. Referring to places, people, things or events within a short distance of an identified locality.","Pollination assessment",NA,25073,41449
"local communities_sua","local communities","","Local communities” refers to non-indigenous communities with historical linkages to places and livelihoods characterized by long- term relationships with the natural environment, often over generations.","Sustainable use assessment",NA,25074,41450
"local community_ppa","local community","","A group of individuals that interact within their immediate surroundings and/or direct mutual influences in their daily life. In this sense, a rural village, a clan in transhumance or the inhabitants of an urban neighbourhood can be considered a local community, but not all the inhabitants of a district, a city quarter or even a rural town. A local community could be permanently settled or mobile.","Pollination assessment",NA,25075,41451
"local ecological knowledge_sua","local ecological knowledge","LEK","Knowledge about nature, including organisms (animals and plants), ecosystems and ecological interactions, held by local people who interact with and use natural resources. This is a manifestation of indigenous local knowledge (ILK), but includes also knowledge held by those local people who may not be officially recognized as indigenous (in legal terms). Like traditional ecological knowledge, LEK can be seen as a knowledge-practice-belief complex. In other words, it is a cumulative body of knowledge, practice, and belief, evolving by adaptive processes and handed down through generations by cultural transmission (Berkes, 2012). This encompasses ways of knowing and doing, which are dynamic concepts relying on building on experience and adapting to changes, thereby imbibe a strong learning-by-doing component.","Sustainable use assessment",NA,25076,41452
"local economies_sua","local economies","","Local economies and subsistence economies are defined as those that are small in scale and in which the use of resources (including wild species) are limited and exclusively used to meet local needs rather than accumulated or sold for profit.","Sustainable use assessment",NA,25077,41453
"lock-in traps_tca","lock-in traps","","A situation in which the future development of a system, including infrastructure, technologies, investments, institutions and behavioural norms, is determined or constrained ('locked in') by historical developments (IPCC, n.d.).","Transformative change assessment",NA,34059,88374
